날짜,시가,고가,저가,종가,거래량,거래대금
2020-03-10,10976.39,11270.91,10889.22,11270.82,71383494,892745936027
2020-03-11,11447.27,11451.99,10808.03,10922.04,66122078,767945959278
2020-03-12,10843.7,11021.96,10453.72,10699.76,80705912,984432874665
2020-03-13,10271.38,10597.55,9507.49,10294.39,108169309,1664502454911
2020-03-16,10661.15,10661.15,9938.91,9938.91,75300085,1159648687910
2020-03-17,9579.96,10086.21,9547.72,9898.02,62188466,1073040486791
2020-03-18,10056.82,10078.73,9416.76,9416.76,122733307,1343810074012
2020-03-19,9749.48,9749.48,8384.67,8545.51,68537356,1245511499459
2020-03-20,8916.6,9547.28,8733.22,9510.22,82463267,1324250845838
2020-03-23,9127.57,10226.1,9068.8,9914.42,95367121,2128167984260
2020-03-24,10207.07,10712.08,10207.07,10622.62,83989377,1698393988823
2020-03-25,10925.04,10978.06,10424.97,10716.62,108327489,1787343504559
2020-03-26,10656.56,10932.32,10521.12,10633.74,163313031,2391200848759
2020-03-27,10960.28,11097.04,10348.64,10683.34,252023942,3373939311657
2020-03-30,10555.4,10932.41,10555.4,10925.2,138502065,1872968367760
2020-03-31,11076.43,12335.26,11025.79,12262.83,174250881,4875250780722
2020-04-01,12299.99,12393.2,11204.31,11246.13,117988104,2880673007375
2020-04-02,10975.01,11353.72,10820.36,11282.09,89241588,2667875185655
2020-04-03,11242.25,11803.84,11226.58,11409.99,141072990,2470035527375
2020-04-06,11690.13,12027.56,11657.44,11921.1,115922121,1907637376647
2020-04-07,11982.96,12040.96,11773.54,12024.41,73293784,1574524419738
2020-04-08,12056.33,12094.97,11906.24,11906.24,144547336,2481109288979
2020-04-09,12079.19,12155.03,11954.75,12048.02,169387277,2034088048634
2020-04-10,12411.93,13254.09,12111.48,12771.94,139792939,3638560602790
2020-04-13,12968.46,13077.53,12646.36,12646.36,69837493,2321330375525
2020-04-14,12778.43,12955.76,12477.64,12746.78,135497967,3063480764810
2020-04-16,12621.91,12832.47,12621.91,12685.75,97263945,2175280816124
2020-04-17,12838.24,12886.31,12459.05,12854.11,100089882,2405841692985
2020-04-20,12806.87,13032.19,12726.38,12967.02,190818077,3303129469594
2020-04-21,13066.52,13236.9,12612.51,13033.61,115106359,2757674213423
2020-04-22,12942.81,13268.31,12942.81,13091.84,72095559,1761626226283
2020-04-23,13161.32,13382.79,13035.54,13323.27,51111605,1556362730979
2020-04-24,13261.03,13352.33,13031.68,13104.9,147972010,1593196888183
2020-04-27,13188.25,13251.24,13059.22,13135.63,109591460,1044329148340
2020-04-28,13156.41,13243.16,12974.92,13036.17,214911609,1239142399832
2020-04-29,13032.65,13078.57,12928.73,12996.52,92355736,935993650522
2020-05-04,12867.34,12906.0,12626.62,12626.62,102192013,1692205695839
2020-05-06,12761.88,12939.07,12600.13,12911.67,61812530,1091166345525
2020-05-07,12881.03,12918.99,12765.6,12781.86,60439844,790425021241
2020-05-08,12918.61,13311.69,12910.86,13178.65,47564946,982865720686
2020-05-11,13314.07,13341.05,13134.38,13178.8,41073011,872050487171
2020-05-12,13260.46,13402.52,13180.13,13294.65,90143054,1462063908517
2020-05-13,13251.95,13610.17,13242.51,13591.91,49337134,1068684865581
2020-05-14,13549.64,13620.87,13376.36,13620.87,75088198,1741021559147
2020-05-15,13693.46,13753.21,13463.19,13577.91,145890561,1825114922359
2020-05-18,13750.69,13916.51,13406.4,13440.71,126194017,1995086167366
2020-05-19,13573.67,13573.67,13301.61,13394.96,87309768,1758321814942
2020-05-20,13385.73,13552.44,13370.55,13507.2,46024769,876860153488
2020-05-21,13519.17,13637.64,13381.15,13607.1,34380819,725879685251
2020-05-22,13880.4,13910.65,13488.01,13608.56,90422200,1505393735581
2020-05-25,13634.75,13783.35,13599.51,13741.94,65811567,1061194151203
2020-05-26,13817.72,13903.28,13662.35,13895.57,121036786,1562035037231
2020-05-27,13799.42,13876.15,13644.02,13667.49,72908427,1154356848335
2020-05-28,13596.72,13679.27,13238.1,13496.68,99336222,1356458233102
2020-05-29,13583.83,13752.98,13502.23,13662.77,120536137,2592514086469
2020-06-01,13719.08,14132.72,13684.4,14044.29,50853877,1773477037471
2020-06-02,14085.54,14106.58,13862.32,13998.75,36247559,967952422644
2020-06-03,14171.01,14251.74,13901.88,14012.57,61083220,1679082370340
2020-06-04,14087.22,14597.33,13961.91,14597.25,33426342,1617878493749
2020-06-05,14517.24,15189.72,14500.62,15097.86,81850586,3013109755928
2020-06-08,15301.46,15301.46,14950.95,15216.95,88447280,3014595517620
2020-06-09,15450.55,15746.22,15218.45,15702.3,141490604,4485750398186
2020-06-10,15762.56,16116.33,15717.51,16078.48,132330371,4048047849813
2020-06-11,16511.79,17328.1,16422.03,16889.38,139852080,3912298242077
2020-06-12,16372.29,17696.97,16368.83,17547.07,113063854,3876393945047
2020-06-15,17910.73,18180.33,16423.81,16907.64,194520962,4697552133641
2020-06-16,17538.42,17718.61,17412.32,17676.17,92517871,2789824737782
2020-06-17,17718.05,17990.0,17228.83,17618.87,134371790,3375804546514
2020-06-18,17775.19,17788.85,17433.48,17470.01,89801084,2442436421947
2020-06-19,17558.34,17558.34,16964.73,17332.01,52723380,1680708063248
2020-06-22,17265.31,17540.17,17154.62,17356.64,31488841,1155866274015
2020-06-23,17594.19,18008.45,17379.5,17771.05,46773278,2440906977014
2020-06-24,18129.21,18294.68,17838.22,17956.5,79919741,2368718860582
2020-06-25,17849.28,18113.98,17768.17,17844.74,157111577,1356117044502
2020-06-26,18012.24,18012.24,17412.56,17671.92,65897789,1253682907909
2020-06-29,17733.34,17829.85,17332.13,17332.13,39834069,1084886017374
2020-06-30,17420.57,17448.37,16940.62,17125.94,42501515,1492505389208
2020-07-01,17180.07,17280.91,16706.53,16725.46,30430424,986316694224
2020-07-02,16924.67,17400.16,16924.67,17282.53,34073103,1041769136159
2020-07-03,17400.13,17412.34,16922.61,17210.0,33079468,1204622837724
2020-07-06,17165.15,17232.43,16938.7,17012.76,28898758,1107822982162
2020-07-07,16999.58,17269.15,16843.73,17033.47,70272129,2315270967895
2020-07-08,17147.6,17183.03,16806.4,16912.79,48087828,1549206974841
2020-07-09,17227.74,17354.55,17054.98,17197.01,35236060,1417047716480
2020-07-10,17341.91,17352.39,16997.93,17200.74,62453708,2519359116280
2020-07-13,17324.18,17472.52,17081.38,17429.61,41228991,2034432360730
2020-07-14,17423.44,17759.33,17295.29,17450.65,77675354,2628117922667
2020-07-15,17659.46,17659.46,17215.05,17394.98,100203456,2846413363313
2020-07-16,17317.06,17403.44,17068.43,17157.0,44435717,1366916235336
2020-07-17,17239.72,17650.55,17088.66,17617.21,75626755,2931716514456
2020-07-20,17855.44,18006.32,17766.3,17825.94,120043536,4133933769146
2020-07-21,17973.61,18278.23,17847.49,17989.81,159584045,4175677089949
2020-07-22,18075.26,18653.42,17890.76,18638.17,120069221,4210147334427
2020-07-23,18662.69,18888.37,18504.02,18697.35,267737094,5148281495745
2020-07-24,18605.18,19255.53,18414.58,18414.58,273259618,5684621527791
2020-07-27,18408.2,18467.44,17958.17,17984.94,131492020,3565996182022
2020-07-28,18282.08,18332.66,17938.21,18086.51,118811964,4898369173843
2020-07-29,17989.66,18006.34,17527.63,17594.7,95550856,3544369883183
2020-07-30,17460.27,17687.06,17141.15,17532.08,64198520,3307920391356
2020-07-31,17557.06,17758.35,17331.91,17331.91,82665580,2458573194699
2020-08-03,17295.74,17535.88,16930.2,17472.45,61152250,2276104312523
2020-08-04,17543.2,17814.21,17392.78,17763.84,112865858,3877569731790
2020-08-05,17972.53,18929.92,17944.67,18888.69,156079501,6067455245385
2020-08-06,19202.43,19242.5,18654.35,18715.55,97721615,4359272106297
2020-08-07,18772.0,18795.17,18377.76,18600.58,91674878,2162043698746
2020-08-10,18610.94,18792.92,18410.71,18612.15,76307632,2353554577090
2020-08-11,18901.46,19229.2,18735.39,18923.2,65889593,2898788016966
2020-08-12,19057.1,19226.11,18791.41,18899.83,66555683,2599180065455
2020-08-13,18880.87,19136.73,18568.43,18758.69,68463327,2040788673145
2020-08-14,18621.17,18817.97,18221.27,18475.8,115060464,2339608902454
2020-08-18,18619.21,19022.73,18244.69,18396.91,143317959,2631968720000
2020-08-19,18755.07,18893.89,18531.47,18657.0,61849679,1746128734100
