,Date,  현재생활형편CSI,  현재경기판단CSI,  생활형편전망CSI,  향후경기전망CSI,  소비지출전망CSI,경제심리지수(원계열),경제심리지수(순환변동치)
0,2020-03-10,83,38,83,62,93,69.2,78.1
1,2020-03-11,83,38,83,62,93,69.2,78.1
2,2020-03-12,83,38,83,62,93,69.2,78.1
3,2020-03-13,83,38,83,62,93,69.2,78.1
4,2020-03-14,83,38,83,62,93,69.2,78.1
5,2020-03-15,83,38,83,62,93,69.2,78.1
6,2020-03-16,83,38,83,62,93,69.2,78.1
7,2020-03-17,83,38,83,62,93,69.2,78.1
8,2020-03-18,83,38,83,62,93,69.2,78.1
9,2020-03-19,83,38,83,62,93,69.2,78.1
10,2020-03-20,83,38,83,62,93,69.2,78.1
11,2020-03-21,83,38,83,62,93,69.2,78.1
12,2020-03-22,83,38,83,62,93,69.2,78.1
13,2020-03-23,83,38,83,62,93,69.2,78.1
14,2020-03-24,83,38,83,62,93,69.2,78.1
15,2020-03-25,83,38,83,62,93,69.2,78.1
16,2020-03-26,83,38,83,62,93,69.2,78.1
17,2020-03-27,83,38,83,62,93,69.2,78.1
18,2020-03-28,83,38,83,62,93,69.2,78.1
19,2020-03-29,83,38,83,62,93,69.2,78.1
20,2020-03-30,83,38,83,62,93,69.2,78.1
21,2020-03-31,83,38,83,62,93,69.2,78.1
22,2020-04-01,77,31,79,59,87,62.2,75.4
23,2020-04-02,77,31,79,59,87,62.2,75.4
24,2020-04-03,77,31,79,59,87,62.2,75.4
25,2020-04-04,77,31,79,59,87,62.2,75.4
26,2020-04-05,77,31,79,59,87,62.2,75.4
27,2020-04-06,77,31,79,59,87,62.2,75.4
28,2020-04-07,77,31,79,59,87,62.2,75.4
29,2020-04-08,77,31,79,59,87,62.2,75.4
30,2020-04-09,77,31,79,59,87,62.2,75.4
31,2020-04-10,77,31,79,59,87,62.2,75.4
32,2020-04-11,77,31,79,59,87,62.2,75.4
33,2020-04-12,77,31,79,59,87,62.2,75.4
34,2020-04-13,77,31,79,59,87,62.2,75.4
35,2020-04-14,77,31,79,59,87,62.2,75.4
36,2020-04-15,77,31,79,59,87,62.2,75.4
37,2020-04-16,77,31,79,59,87,62.2,75.4
38,2020-04-17,77,31,79,59,87,62.2,75.4
39,2020-04-18,77,31,79,59,87,62.2,75.4
40,2020-04-19,77,31,79,59,87,62.2,75.4
41,2020-04-20,77,31,79,59,87,62.2,75.4
42,2020-04-21,77,31,79,59,87,62.2,75.4
43,2020-04-22,77,31,79,59,87,62.2,75.4
44,2020-04-23,77,31,79,59,87,62.2,75.4
45,2020-04-24,77,31,79,59,87,62.2,75.4
46,2020-04-25,77,31,79,59,87,62.2,75.4
47,2020-04-26,77,31,79,59,87,62.2,75.4
48,2020-04-27,77,31,79,59,87,62.2,75.4
49,2020-04-28,77,31,79,59,87,62.2,75.4
50,2020-04-29,77,31,79,59,87,62.2,75.4
51,2020-04-30,77,31,79,59,87,62.2,75.4
52,2020-05-01,79,36,85,67,91,64.1,74.1
53,2020-05-02,79,36,85,67,91,64.1,74.1
54,2020-05-03,79,36,85,67,91,64.1,74.1
55,2020-05-04,79,36,85,67,91,64.1,74.1
56,2020-05-05,79,36,85,67,91,64.1,74.1
57,2020-05-06,79,36,85,67,91,64.1,74.1
58,2020-05-07,79,36,85,67,91,64.1,74.1
59,2020-05-08,79,36,85,67,91,64.1,74.1
60,2020-05-09,79,36,85,67,91,64.1,74.1
61,2020-05-10,79,36,85,67,91,64.1,74.1
62,2020-05-11,79,36,85,67,91,64.1,74.1
63,2020-05-12,79,36,85,67,91,64.1,74.1
64,2020-05-13,79,36,85,67,91,64.1,74.1
65,2020-05-14,79,36,85,67,91,64.1,74.1
66,2020-05-15,79,36,85,67,91,64.1,74.1
67,2020-05-16,79,36,85,67,91,64.1,74.1
68,2020-05-17,79,36,85,67,91,64.1,74.1
69,2020-05-18,79,36,85,67,91,64.1,74.1
70,2020-05-19,79,36,85,67,91,64.1,74.1
71,2020-05-20,79,36,85,67,91,64.1,74.1
72,2020-05-21,79,36,85,67,91,64.1,74.1
73,2020-05-22,79,36,85,67,91,64.1,74.1
74,2020-05-23,79,36,85,67,91,64.1,74.1
75,2020-05-24,79,36,85,67,91,64.1,74.1
76,2020-05-25,79,36,85,67,91,64.1,74.1
77,2020-05-26,79,36,85,67,91,64.1,74.1
78,2020-05-27,79,36,85,67,91,64.1,74.1
79,2020-05-28,79,36,85,67,91,64.1,74.1
80,2020-05-29,79,36,85,67,91,64.1,74.1
81,2020-05-30,79,36,85,67,91,64.1,74.1
82,2020-05-31,79,36,85,67,91,64.1,74.1
83,2020-06-01,84,44,87,70,93,68.7,74.3
84,2020-06-02,84,44,87,70,93,68.7,74.3
85,2020-06-03,84,44,87,70,93,68.7,74.3
86,2020-06-04,84,44,87,70,93,68.7,74.3
87,2020-06-05,84,44,87,70,93,68.7,74.3
88,2020-06-06,84,44,87,70,93,68.7,74.3
89,2020-06-07,84,44,87,70,93,68.7,74.3
90,2020-06-08,84,44,87,70,93,68.7,74.3
91,2020-06-09,84,44,87,70,93,68.7,74.3
92,2020-06-10,84,44,87,70,93,68.7,74.3
93,2020-06-11,84,44,87,70,93,68.7,74.3
94,2020-06-12,84,44,87,70,93,68.7,74.3
95,2020-06-13,84,44,87,70,93,68.7,74.3
96,2020-06-14,84,44,87,70,93,68.7,74.3
97,2020-06-15,84,44,87,70,93,68.7,74.3
98,2020-06-16,84,44,87,70,93,68.7,74.3
99,2020-06-17,84,44,87,70,93,68.7,74.3
100,2020-06-18,84,44,87,70,93,68.7,74.3
101,2020-06-19,84,44,87,70,93,68.7,74.3
102,2020-06-20,84,44,87,70,93,68.7,74.3
103,2020-06-21,84,44,87,70,93,68.7,74.3
104,2020-06-22,84,44,87,70,93,68.7,74.3
105,2020-06-23,84,44,87,70,93,68.7,74.3
106,2020-06-24,84,44,87,70,93,68.7,74.3
107,2020-06-25,84,44,87,70,93,68.7,74.3
108,2020-06-26,84,44,87,70,93,68.7,74.3
109,2020-06-27,84,44,87,70,93,68.7,74.3
110,2020-06-28,84,44,87,70,93,68.7,74.3
111,2020-06-29,84,44,87,70,93,68.7,74.3
112,2020-06-30,84,44,87,70,93,68.7,74.3
113,2020-07-01,85,49,87,70,95,77.3,75.8
114,2020-07-02,85,49,87,70,95,77.3,75.8
115,2020-07-03,85,49,87,70,95,77.3,75.8
