날짜,시가,고가,저가,종가,거래량,거래대금
2020-03-10,1809.2,1858.7,1792.88,1858.7,14888670,603845846025
2020-03-11,1881.32,1883.47,1774.14,1793.62,15358126,544500320820
2020-03-12,1784.76,1804.3,1705.59,1737.73,15364615,616896769665
2020-03-13,1669.89,1725.17,1546.35,1680.65,20936097,1033728818800
2020-03-16,1736.35,1736.35,1636.49,1637.77,18936861,761711683290
2020-03-17,1583.47,1657.84,1572.28,1640.06,17350404,812154601375
2020-03-18,1663.37,1666.4,1559.69,1559.69,20986597,646230199780
2020-03-19,1611.32,1613.16,1401.73,1427.96,22456755,971595619360
2020-03-20,1482.72,1561.78,1448.47,1561.78,19220186,886993481595
2020-03-23,1491.36,1629.25,1484.27,1582.86,18175219,1618802346855
2020-03-24,1627.05,1696.36,1627.05,1695.64,18796877,1238024324160
2020-03-25,1739.47,1750.47,1676.97,1719.68,24444989,1124936597720
2020-03-26,1710.33,1763.45,1689.69,1712.06,27968673,1152553068525
2020-03-27,1765.65,1816.26,1667.5,1725.8,21892698,1089088786050
2020-03-30,1706.5,1766.76,1706.34,1764.07,17044045,636058461575
2020-03-31,1789.98,1965.31,1782.01,1963.24,52187450,3814633681820
2020-04-01,1975.4,1990.11,1815.56,1827.28,29556180,1971035101635
2020-04-02,1799.58,1845.54,1760.81,1834.81,24225571,2103047576285
2020-04-03,1827.3,1898.18,1823.26,1849.14,23389570,1409589734795
2020-04-06,1890.41,1938.67,1887.64,1925.76,26102483,1285775950230
2020-04-07,1933.27,1952.31,1904.63,1946.82,20216831,1203492684795
2020-04-08,1951.4,1973.75,1925.0,1925.0,13770007,722720489605
2020-04-09,1954.06,1958.78,1929.64,1949.97,19867556,832393274555
2020-04-10,1996.09,2095.88,1950.23,2034.69,22029510,2513116837975
2020-04-13,2060.44,2073.17,2011.98,2011.98,13611411,1694884476605
2020-04-14,2029.5,2071.88,1985.5,2043.48,51250966,2101821133585
2020-04-16,2029.0,2063.86,2028.19,2043.75,38202263,1506361950210
2020-04-17,2070.01,2072.71,2007.0,2059.07,19411635,1290507959380
2020-04-20,2050.61,2083.07,2040.29,2070.84,24552581,1173131510330
2020-04-21,2088.79,2106.72,2006.64,2071.06,22837090,1436205355710
2020-04-22,2057.43,2100.3,2055.1,2083.01,11938070,1018775810300
2020-04-23,2091.36,2126.39,2074.41,2118.2,15287070,1144748836910
2020-04-24,2111.03,2122.93,2073.05,2083.18,12329734,858319704800
2020-04-27,2095.28,2100.8,2075.98,2082.16,7970163,431530438725
2020-04-28,2086.55,2094.25,2058.48,2071.7,7535029,455937087965
2020-04-29,2074.19,2079.95,2062.24,2071.29,5700676,388560940375
2020-05-04,2049.36,2051.92,1999.89,2001.5,8196970,547809493830
2020-05-06,2024.29,2045.44,1999.72,2042.76,5390348,369555286510
2020-05-07,2039.52,2045.01,2023.57,2026.32,4606173,277758150600
2020-05-08,2048.07,2108.58,2047.14,2093.75,7386771,660997639380
2020-05-11,2114.82,2129.48,2101.06,2108.8,9334555,548018855840
2020-05-12,2122.64,2136.2,2099.14,2127.65,22623467,934944887455
2020-05-13,2114.15,2167.74,2112.04,2163.12,18099431,753112714350
2020-05-14,2161.68,2162.01,2115.05,2154.33,22350588,926513477080
2020-05-15,2165.63,2168.16,2128.9,2146.08,25901854,947789869920
2020-05-18,2171.67,2217.63,2136.85,2143.78,23834250,1082765609670
2020-05-19,2163.01,2163.01,2111.37,2126.19,13138133,639550903340
