,Date,뉴스심리지수
0,2020-03-10,74.24
1,2020-03-11,72.48
2,2020-03-12,70.96
3,2020-03-13,66.6
4,2020-03-16,60.2
5,2020-03-17,60.3
6,2020-03-18,60.1
7,2020-03-19,61.52
8,2020-03-20,62.15
9,2020-03-23,70.44
10,2020-03-24,69.42
11,2020-03-25,73.6
12,2020-03-26,74.03
13,2020-03-27,77.32
14,2020-03-30,80.44
15,2020-03-31,82.74
16,2020-04-01,78.99
17,2020-04-02,77.67
18,2020-04-03,76.69
19,2020-04-06,76.6
20,2020-04-07,78.02
21,2020-04-08,80.1
22,2020-04-09,80.66
23,2020-04-10,81.9
24,2020-04-13,82.41
25,2020-04-14,81.34
26,2020-04-16,80.18
27,2020-04-17,79.95
28,2020-04-20,78.85
29,2020-04-21,78.48
30,2020-04-22,77.2
31,2020-04-23,78.35
32,2020-04-24,78.93
33,2020-04-27,81.71
34,2020-04-28,84.23
35,2020-04-29,85.49
36,2020-05-04,79.66
37,2020-05-06,77.45
38,2020-05-07,78.59
39,2020-05-08,80.65
40,2020-05-11,89.7
41,2020-05-12,90.6
42,2020-05-13,91.47
43,2020-05-14,91.71
44,2020-05-15,92.6
45,2020-05-18,89.61
46,2020-05-19,90.95
47,2020-05-20,92.59
48,2020-05-21,93.4
49,2020-05-22,93.05
50,2020-05-25,96.89
51,2020-05-26,96.99
52,2020-05-27,96.44
53,2020-05-28,97.29
54,2020-05-29,95.42
55,2020-06-01,95.26
56,2020-06-02,96.26
57,2020-06-03,96.95
58,2020-06-04,97.81
59,2020-06-05,100.13
60,2020-06-08,100.59
61,2020-06-09,99.38
62,2020-06-10,98.12
63,2020-06-11,95.82
64,2020-06-12,94.94
65,2020-06-15,94.12
66,2020-06-16,93.88
67,2020-06-17,95.66
68,2020-06-18,97.28
69,2020-06-19,98.68
70,2020-06-22,99.5
71,2020-06-23,100.29
72,2020-06-24,100.52
73,2020-06-25,100.39
74,2020-06-26,98.53
75,2020-06-29,99.48
76,2020-06-30,97.91
77,2020-07-01,97.5
78,2020-07-02,97.31
79,2020-07-03,100.44
80,2020-07-06,103.62
81,2020-07-07,106.34
82,2020-07-08,104.89
83,2020-07-09,104.86
84,2020-07-10,104.64
85,2020-07-13,105.0
86,2020-07-14,104.36
87,2020-07-15,105.96
88,2020-07-16,105.41
89,2020-07-17,103.82
90,2020-07-20,102.31
91,2020-07-21,101.62
92,2020-07-22,101.77
93,2020-07-23,103.51
94,2020-07-24,101.63
95,2020-07-27,101.14
96,2020-07-28,102.03
97,2020-07-29,102.6
98,2020-07-30,101.27
99,2020-07-31,104.77
100,2020-08-03,109.23
101,2020-08-04,109.18
102,2020-08-05,109.67
103,2020-08-06,111.34
104,2020-08-07,110.25
105,2020-08-10,107.49
106,2020-08-11,107.19
107,2020-08-12,106.02
108,2020-08-13,104.4
109,2020-08-14,106.28
110,2020-08-18,100.37
111,2020-08-19,99.22
112,2020-08-20,98.41
113,2020-08-21,94.43
114,2020-08-24,91.14
115,2020-08-25,90.61
116,2020-08-26,90.99
117,2020-08-27,92.05
118,2020-08-28,90.01
119,2020-08-31,92.95
120,2020-09-01,93.45
121,2020-09-02,93.46
122,2020-09-03,93.84
123,2020-09-04,99.33
124,2020-09-07,100.44
125,2020-09-08,100.57
126,2020-09-09,101.15
127,2020-09-10,98.36
128,2020-09-11,96.58
129,2020-09-14,95.67
130,2020-09-15,96.48
131,2020-09-16,96.05
132,2020-09-17,99.23
133,2020-09-18,100.17
134,2020-09-21,102.64
135,2020-09-22,101.96
136,2020-09-23,101.36
137,2020-09-24,100.56
138,2020-09-25,98.32
139,2020-09-28,99.06
140,2020-09-29,100.83
141,2020-10-05,97.1
142,2020-10-06,95.7
143,2020-10-07,98.17
144,2020-10-08,100.46
145,2020-10-12,101.24
146,2020-10-13,102.14
147,2020-10-14,101.32
148,2020-10-15,101.59
149,2020-10-16,100.48
150,2020-10-19,98.21
151,2020-10-20,98.08
152,2020-10-21,100.2
153,2020-10-22,100.1
154,2020-10-23,100.49
155,2020-10-26,110.04
156,2020-10-27,111.45
157,2020-10-28,111.37
158,2020-10-29,112.6
159,2020-10-30,113.18
160,2020-11-02,110.68
161,2020-11-03,111.57
162,2020-11-04,111.93
163,2020-11-05,112.8
164,2020-11-06,113.63
165,2020-11-09,113.79
166,2020-11-10,113.36
167,2020-11-11,112.79
168,2020-11-12,111.26
169,2020-11-13,110.15
170,2020-11-16,113.48
171,2020-11-17,112.86
172,2020-11-18,112.04
173,2020-11-19,112.71
174,2020-11-20,112.54
175,2020-11-23,107.34
176,2020-11-24,108.15
177,2020-11-25,110.14
178,2020-11-26,110.93
179,2020-11-27,111.81
180,2020-11-30,112.5
181,2020-12-01,109.18
182,2020-12-02,108.97
183,2020-12-03,109.67
184,2020-12-04,111.0
185,2020-12-07,112.09
186,2020-12-08,115.01
187,2020-12-09,115.27
188,2020-12-10,115.09
189,2020-12-11,113.25
190,2020-12-14,116.3
191,2020-12-15,114.24
192,2020-12-16,112.83
193,2020-12-17,110.95
194,2020-12-18,110.78
195,2020-12-21,107.85
196,2020-12-22,109.1
197,2020-12-23,109.62
198,2020-12-24,110.79
199,2020-12-28,109.7
200,2020-12-29,109.54
201,2020-12-30,110.38
202,2020-12-31,108.58
203,2021-01-04,112.84
204,2021-01-05,115.32
205,2021-01-06,116.51
206,2021-01-07,119.11
207,2021-01-08,121.22
208,2021-01-11,122.95
209,2021-01-12,121.38
210,2021-01-13,118.92
211,2021-01-14,116.58
212,2021-01-15,114.17
213,2021-01-18,105.63
214,2021-01-19,103.11
215,2021-01-20,103.25
216,2021-01-21,105.38
217,2021-01-22,106.76
218,2021-01-25,109.87
219,2021-01-26,112.99
220,2021-01-27,113.03
221,2021-01-28,112.57
222,2021-01-29,112.44
223,2021-02-01,110.03
224,2021-02-02,111.04
225,2021-02-03,111.32
226,2021-02-04,111.16
227,2021-02-05,109.63
228,2021-02-08,111.69
229,2021-02-09,108.62
230,2021-02-10,108.13
231,2021-02-15,101.05
232,2021-02-16,101.78
233,2021-02-17,101.43
234,2021-02-18,103.35
235,2021-02-19,107.34
236,2021-02-22,105.89
237,2021-02-23,104.76
238,2021-02-24,104.66
239,2021-02-25,105.15
240,2021-02-26,105.08
241,2021-03-02,107.35
242,2021-03-03,108.78
243,2021-03-04,109.66
244,2021-03-05,109.86
245,2021-03-08,109.12
246,2021-03-09,108.4
247,2021-03-10,106.45
248,2021-03-11,106.14
249,2021-03-12,107.1
250,2021-03-15,111.85
251,2021-03-16,112.66
252,2021-03-17,113.95
253,2021-03-18,113.34
254,2021-03-19,113.08
255,2021-03-22,112.88
256,2021-03-23,112.56
257,2021-03-24,112.73
258,2021-03-25,112.76
259,2021-03-26,112.71
260,2021-03-29,115.2
261,2021-03-30,115.51
262,2021-03-31,115.48
263,2021-04-01,117.47
264,2021-04-02,117.54
265,2021-04-05,116.31
