,MDD
005930,-0.2879120879120879
000660,-0.3838383838383838
207940,-0.5727738168461358
035420,-0.4052863436123348
006400,-0.4112607099143207
005380,-0.39065420560747666
035720,-0.5238938053097345
051910,-0.5729571984435797
000270,-0.3221674876847291
005490,-0.6506329113924051
105560,-0.6202623906705539
055550,-0.5992779783393501
028260,-0.5016722408026756
068270,-0.6374417271144732
096770,-0.7458980044345898
012330,-0.4626038781163435
034730,-0.6742770167427702
066570,-0.42702702702702705
011200,-0.567193675889328
015760,-0.6666666666666666
086790,-0.6675675675675675
032830,-0.768
017670,-0.4283168832208853
034020,-0.9058348024250763
010950,-0.6472727272727272
003550,-0.41506276150627613
009150,-0.48098159509202454
033780,-0.4912
018260,-0.5075757575757576
010130,-0.4624542124542125
051900,-0.6175141242937853
003490,-0.6490089946668789
003670,-0.4588235294117647
000810,-0.5922330097087378
036570,-0.6160886319845857
030200,-0.501412429378531
090430,-0.6662049861495845
011070,-0.586449864498645
024110,-0.6587209302325582
086280,-0.6101063829787234
011170,-0.7534246575342466
097950,-0.6274038461538461
009540,-0.6276368701278279
034220,-0.7712082262210797
009830,-0.7523755226149753
018880,-0.4535809018567639
035250,-0.5811855670103093
032640,-0.4846994535519126
088980,-0.21152263374485597
011790,-0.37343358395989973
004020,-0.8085880640465793
021240,-0.5653153153153153
010140,-0.7404890105040163
028050,-0.65
000060,-0.6661818181818182
006800,-0.6846491228070175
047810,-0.7693935119887165
000720,-0.7560094592136379
011780,-0.5168918918918919
005830,-0.7159904534606205
161390,-0.7661169415292354
078930,-0.6049543676662321
000100,-0.27651490164518383
028670,-0.6864661654135338
138040,-0.44954128440366975
020150,-0.44802867383512546
003410,-0.4747546411256947
008560,-0.6252220248667851
036460,-0.7426356589147287
071050,-0.6738022426095821
180640,-0.5442922374429223
029780,-0.4485981308411215
241560,-0.6608910891089109
002790,-0.7508457963132766
004990,-0.767988051669688
128940,-0.6392859687754723
139480,-0.6916535433070866
005940,-0.6299120234604105
