,code
100,004170
101,138930
102,001040
103,039490
104,042660
105,005385
106,111770
107,093370
108,088350
109,004000
110,006280
111,000880
112,112610
113,064350
114,051915
115,069620
116,081660
117,006260
118,120110
119,069960
120,011210
121,004800
122,175330
123,016380
124,003090
125,005300
126,001230
127,004370
128,014820
129,079550
130,051600
131,007310
132,009240
133,005070
134,019170
135,042700
136,001120
137,139130
138,010780
139,010120
140,017800
141,020560
142,005850
143,000240
144,000210
145,000150
146,249420
147,073240
148,018670
149,031430
150,042670
151,195870
152,000670
153,001740
154,012510
155,003690
156,181710
157,003240
158,014830
159,032350
160,079160
161,185750
162,089590
163,214320
164,069260
165,105630
166,039130
167,016710
168,241590
169,007700
170,082640
171,017390
172,006650
173,011000
174,005880
175,066575
176,005250
177,020000
178,034120
179,161890
180,001800
181,023590
182,006040
183,051905
184,114090
185,002840
186,003530
187,004490
188,005440
189,009420
190,103140
191,003520
192,003540
193,003850
194,005690
195,001680
196,009970
197,006120
198,003000
199,007340
200,010050
201,090435
202,009450
203,192820
204,003280
205,005090
206,000070
207,003230
208,005610
209,057050
210,085620
211,003470
212,007810
213,064960
214,025860
215,210980
216,000640
217,003030
218,097230
219,049770
220,001530
221,002350
222,001430
223,192400
224,025540
225,002240
226,017810
227,034310
228,093050
229,004430
230,000400
231,004690
232,033240
233,170900
234,001060
235,008730
236,017960
237,145990
238,006390
239,001820
240,001720
241,138490
242,009160
243,000815
244,000370
245,001880
246,002900
247,071840
248,034830
249,005180
250,037560
251,123890
252,115390
253,003070
254,102460
255,006405
256,027410
257,000230
258,084010
259,183190
260,068400
261,161000
262,002320
263,007690
264,001390
265,030610
266,005420
267,092220
268,108670
269,007570
270,007660
271,226320
272,053210
273,033270
274,094800
275,005390
276,005950
277,058650
278,130660
279,037270
280,082740
281,060980
282,012630
283,008490
284,001470
285,000050
286,003620
287,117580
288,003580
289,001725
290,001790
291,004890
292,071320
293,003300
294,016800
295,011690
296,001510
297,002310
298,002150
299,002270
300,026890
301,003545
302,024720
303,003220
304,004250
305,011930
306,071055
307,016590
308,104700
309,122900
310,081000
311,075580
312,095720
313,009290
314,002990
315,126560
316,000490
317,00088K
318,005500
319,001520
320,002020
321,008040
322,084680
323,900140
324,017940
325,011700
326,001250
327,009410
328,000020
329,084690
330,029530
331,072710
332,006740
333,001500
334,000480
335,213500
336,002960
337,001200
338,002780
339,001630
340,010690
341,095570
342,107590
343,016580
344,007460
345,000140
346,128820
347,006060
348,018470
349,001780
350,029460
351,077500
352,003060
353,005810
354,033180
355,136490
356,004700
357,024090
358,003570
359,008350
360,194370
361,019680
362,002030
363,001130
364,005960
365,020120
366,030210
367,003960
368,009680
369,037710
370,009580
371,011785
372,077970
373,013580
374,002460
375,006490
376,035150
377,012610
378,004980
379,004380
380,003200
381,096760
382,003920
383,011280
384,001940
385,002390
386,036530
387,002710
388,058430
389,068290
390,105840
391,015860
392,035510
393,001460
394,000680
395,079430
396,016450
397,014280
398,044450
399,214330
400,002100
401,008060
402,009155
403,031440
404,006840
405,006110
406,092230
407,028100
408,007160
409,011760
410,000155
411,004560
412,001360
413,002810
414,010955
415,003160
416,016610
417,036580
418,001270
419,001070
420,101530
421,025000
422,011500
423,079980
424,039570
425,004360
426,007210
427,000390
428,001340
429,014160
430,005680
431,097955
432,033920
433,229640
434,000540
435,070960
436,005720
437,083420
438,103590
439,102260
440,001570
441,200880
442,013570
443,000970
444,234080
445,003120
446,005389
447,013360
448,015360
449,023450
450,006890
451,000430
452,004710
453,017550
454,074610
455,002210
456,015890
457,090350
458,004090
459,100250
460,033530
461,092200
462,010820
463,007860
464,248170
465,004970
466,012030
467,005945
468,002620
469,094280
470,006220
471,009270
472,214390
473,078520
474,015230
475,000180
476,014790
477,003555
478,009070
479,063160
480,005010
481,02826K
482,008700
483,012800
484,168490
485,004960
486,007280
487,012690
488,102280
489,007540
490,010580
491,003830
492,002170
493,093230
494,016880
495,210540
496,017040
497,004540
498,002700
499,008260
500,096775
501,001750
502,004080
503,004310
504,004140
505,000860
506,002140
507,000700
508,000320
509,017900
510,069460
511,010040
512,015540
513,032560
514,009470
515,023800
516,006380
517,003560
518,134380
519,008970
520,014530
521,002450
522,003610
523,009190
524,123690
525,089470
526,004150
527,005740
528,014580
529,011150
530,003547
531,004060
532,003460
533,005430
534,100840
535,009810
536,003650
537,120030
538,007110
539,067830
540,019440
541,053690
542,000300
543,003480
544,006340
545,025820
546,002360
547,024890
548,002220
549,025750
550,214420
551,071970
552,009200
553,003350
554,023000
555,004720
556,005870
557,034300
558,006880
559,010960
560,016740
561,002880
562,009460
563,004830
564,092440
565,002410
566,000220
567,034590
568,017180
569,000890
570,005750
571,03473K
572,001290
573,005320
574,047400
575,020760
576,001550
577,227840
578,002760
579,071090
580,101140
581,004840
582,011090
583,001045
584,012200
585,044820
586,008250
587,009180
588,016090
589,002720
590,004410
591,004440
592,027740
593,163560
594,000520
595,011810
596,007980
597,006370
598,000500
599,013870
600,001260
601,010600
602,004770
603,002600
604,014710
605,031820
606,000910
607,075180
608,155660
609,005800
610,002630
611,009320
612,002795
613,004270
614,129260
615,035000
616,152550
617,015590
618,006660
619,003720
620,011390
621,019175
622,001020
623,003780
624,012160
625,134790
626,007590
627,024900
628,001080
629,004910
630,009440
631,058730
632,143210
633,002200
634,078000
635,091090
636,013700
637,058850
638,006090
639,008420
640,026940
641,023350
642,058860
643,100220
644,006980
645,003010
646,090080
647,118000
648,001560
649,023810
650,000650
651,025620
652,011330
653,012170
654,027970
655,004450
656,119650
657,049800
658,000950
659,014440
660,010100
661,069730
662,000157
663,002690
664,003080
665,021050
666,041650
667,012320
668,023960
669,133820
670,120115
671,085310
672,005360
673,013520
674,002920
675,006200
676,001140
677,008600
678,004870
679,021820
680,023150
681,008110
682,001380
683,000850
684,012280
685,006805
686,000040
687,000590
688,002870
689,019180
690,014990
691,009770
692,109070
693,000725
694,010660
695,002070
696,015020
697,014130
698,145270
699,009310
700,002820
701,008870
702,000105
703,000215
704,078935
705,123700
706,001275
707,013000
708,044380
709,093240
710,001620
711,011420
712,006570
713,005305
714,025560
715,030720
716,005820
717,017370
718,025530
719,072130
720,090370
721,005030
722,051630
723,010640
724,010770
725,007610
726,003680
727,084670
728,015260
729,008775
730,024070
731,005110
732,007120
733,019685
734,069640
735,004100
736,155900
737,004920
738,000760
739,014910
740,003535
741,001210
742,018500
743,003465
744,006125
745,003475
746,002420
747,009140
748,088790
749,025890
750,084870
751,001420
752,010420
753,204210
754,003495
755,001770
756,001465
757,012600
758,009835
759,033250
760,003925
761,011230
762,071950
763,005257
764,004255
765,007815
766,140910
767,011300
768,145210
769,108675
770,001795
771,096300
772,010145
773,004365
774,001685
775,000087
776,019490
777,008500
778,000225
779,002355
780,18064K
781,002025
782,030790
783,000075
784,000885
785,016385
786,009415
787,145995
788,001515
789,004835
790,005725
791,004985
792,007575
793,000995
794,084695
795,012205
796,014825
797,001755
798,090355
799,003075
800,002995
801,008355
802,005745
803,004415
804,001745
805,014285
806,004105
807,004545
808,006345
809,00781K
810,004565
811,000145
812,005965
813,001067
814,001065
815,011155
816,000545
817,000325
818,000227
819,014915
820,002785
821,001527
822,001525
823,002787
824,000547
825,001529
826,009275
