,Date,Rate,Rate_m
0,2017-01-01,0.83,0.06916666666666667
1,2017-02-01,0.82,0.06833333333333333
2,2017-03-01,1.01,0.08416666666666667
3,2017-04-01,1.04,0.08666666666666667
4,2017-05-01,1.12,0.09333333333333334
5,2017-06-01,1.2,0.09999999999999999
6,2017-07-01,1.22,0.10166666666666667
7,2017-08-01,1.23,0.1025
8,2017-09-01,1.28,0.10666666666666667
9,2017-10-01,1.4,0.11666666666666665
10,2017-11-01,1.56,0.13
11,2017-12-01,1.7,0.14166666666666666
12,2018-01-01,1.8,0.15
13,2018-02-01,1.96,0.16333333333333333
14,2018-03-01,2.06,0.17166666666666666
15,2018-04-01,2.15,0.17916666666666667
16,2018-05-01,2.27,0.18916666666666668
17,2018-06-01,2.33,0.19416666666666668
18,2018-07-01,2.39,0.1991666666666667
19,2018-08-01,2.45,0.2041666666666667
20,2018-09-01,2.56,0.21333333333333335
21,2018-10-01,2.65,0.22083333333333333
22,2018-11-01,2.7,0.225
23,2018-12-01,2.66,0.22166666666666668
24,2019-01-01,2.58,0.215
25,2019-02-01,2.55,0.2125
26,2019-03-01,2.49,0.20750000000000002
27,2019-04-01,2.42,0.20166666666666666
28,2019-05-01,2.34,0.19499999999999998
29,2019-06-01,2.0,0.16666666666666666
30,2019-07-01,1.96,0.16333333333333333
31,2019-08-01,1.77,0.1475
32,2019-09-01,1.8,0.15
33,2019-10-01,1.61,0.13416666666666668
34,2019-11-01,1.57,0.13083333333333333
35,2019-12-01,1.55,0.12916666666666668
36,2020-01-01,1.53,0.1275
37,2020-02-01,1.41,0.1175
38,2020-03-01,0.33,0.0275
39,2020-04-01,0.18,0.015
40,2020-05-01,0.16,0.013333333333333334
41,2020-06-01,0.18,0.015
42,2020-07-01,0.15,0.012499999999999999
43,2020-08-01,0.13,0.010833333333333334
44,2020-09-01,0.13,0.010833333333333334
45,2020-10-01,0.13,0.010833333333333334
46,2020-11-01,0.12,0.01
47,2020-12-01,0.1,0.008333333333333333
48,2021-01-01,0.1,0.008333333333333333
49,2021-02-01,0.07,0.005833333333333334
50,2021-03-01,0.08,0.006666666666666667
51,2021-04-01,0.06,0.005
52,2021-05-01,0.05,0.004166666666666667
53,2021-06-01,0.07,0.005833333333333334
54,2021-07-01,0.08,0.006666666666666667
55,2021-08-01,0.07,0.005833333333333334
56,2021-09-01,0.08,0.006666666666666667
57,2021-10-01,0.11,0.009166666666666667
58,2021-11-01,0.18,0.015
59,2021-12-01,0.3,0.024999999999999998
60,2022-01-01,0.55,0.04583333333333334
61,2022-02-01,1.0,0.08333333333333333
62,2022-03-01,1.34,0.11166666666666668
63,2022-04-01,1.89,0.1575
