회사명,거래소코드,회계년도,유동비율,차입금의존도,매출액증가율,유형자산증가율,총자본증가율,매출액총이익률,매출액영업이익률,매출액순이익률,총자본영업이익률,자기자본순이익률,당좌비율,부채비율,재고자산회전률,매출채권회전률,총자본회전률,매입채무회전률,현금순환주기,WCTA,RETA,TLTA,이자보상배율,vol유동비율,vol매출액증가율,vol유형자산증가율,vol총자본증가율,vol매출액총이익률,vol매출액영업이익률,vol자기자본순이익률,vol총자본영업이익률,vol당좌비율,vol부채비율,vol이자보상배율,vol재고자산회전률,vol매출채권회전률,vol총자본회전률,vol매입채무회전률,부도
(주)뉴씨앤씨,45240,2002,147.12,62.0,-35.39,-48.14,-9.95,-9.0,-22.67,-37.24,-28.02,-110.51,91.52,513.68,3.07,4.19,1.24,8.13,161.08,0.8863276801712666,-0.2529165156153778,0.8370499134486113,-14.243719550307816,-101.56,-35.39,-48.14,-9.95,-23.34,-28.56,-119.89,-38.73,-20.8,458.58999999999986,-19.95588336566326,-0.8500000000000001,-2.21,-0.5800000000000001,-3.9899999999999984,1.0
(주)뉴젠아이씨티,54150,2010,365.25,4.93,119.18,42.08,331.61,20.3,-54.11,-7.3,-18.18,-3.5,362.54,24.57,61.07,6.63,0.34,12.3,31.39000000000001,0.7119557122041021,-2.485888604746297,0.19723706408203195,-9.785714906449062,208.39,189.28,46.69,369.64,-24.57,15.450000000000005,501.77,3.5100000000000016,207.01,-250.59000000000003,-4.506892655983446,-28.09,2.2,0.030000000000000027,5.580000000000001,1.0
(주)다산씨앤드아이,37200,2002,191.98,71.4,-37.76,6.4,-6.01,15.34,-58.95,-152.75,-18.03,-170.53,167.22,808.31,4.27,1.6,0.31,4.49,232.39,0.6617007217903621,-0.4913007223471696,0.8899052604346235,-4.232967503912946,-108.58,-67.56,-96.02,-51.35,-12.94,-56.94000000000001,-156.96,-16.89,-105.64,674.5899999999998,-3.501294006855664,-3.66,-1.52,-0.2500000000000001,-2.1099999999999994,1.0
(주)두림티앤씨,33330,2007,153.02,16.46,-76.3,396.96,39.33,3.39,-113.05,-332.33,-8.42,-32.08,140.95,26.06,2.09,2.26,0.07,3.17,221.21000000000004,0.1353375353439613,-0.17682272243956007,0.2067511176299791,-6.28398832262167,-125.73999999999998,-77.55,492.1,-39.35000000000001,2.27,-92.58,-37.98,1.4600000000000009,-108.65,-8.73,4.940611182807853,-1.83,-6.5299999999999985,-0.41,-4.65,1.0
(주)디패션,30420,2010,163.98,16.81,-52.88,-50.53,4.28,32.94,-55.16,-41.58,-18.08,-30.88,163.98,112.92,0.0,7.82,0.33,13.55,19.75,0.5418154067013734,-3.3295270827385064,0.5303462758732945,-9.028567853412257,-1.6599999999999966,-26.62,-27.33,59.66,9.819999999999997,-22.58,108.97,-3.7899999999999987,-1.6599999999999966,-29.83,3.848856852280772,0.0,0.8900000000000006,-0.11,-13.27,1.0
(주)맥스브로,88810,2010,289.42,5.56,22.84,-34.65,15.5,-22.67,-250.82,-19.57,-57.61,-6.83,256.4,19.3,7.19,3.43,0.23,17.81,136.56,0.4595487456933808,-0.6285094395832731,0.16176077983130613,-61.57645547044194,97.43,95.85,-27.36,67.33,-36.36,-128.26,265.03000000000003,-41.55,67.20999999999998,-103.24,-60.1244966245591,-14.86,1.5000000000000002,0.1,8.469999999999999,1.0
(주)모델라인,64720,2007,20.13,110.61,-13.52,209.26,-49.32,38.7,-146.4,-1332.23,-47.09,0.0,20.02,0.0,17.41,4.94,0.32,4.67,16.790000000000006,0.5395865144760363,-12.656317039260454,2.6836008310559225,-5.470872576460253,-100.73,73.28,291.11,-25.95,33.28,30.65000000000001,419.24,-4.050000000000004,-97.07,-414.56,3.1167720506281262,14.58,-11.119999999999996,0.08000000000000003,-0.5800000000000001,1.0
(주)선팩테크,54010,2010,19.37,64.41,30.48,-17.09,-25.96,-169.71,-239.38,-510.4,-24.1,-244.66,18.14,13675.51,5.04,4.24,0.1,10.95,125.26,0.09693486121315152,-0.8099921525725797,0.9927407386055891,-4.207966815929151,-26.11,66.42,-104.86,-46.48,-21.51000000000002,23.899999999999977,-154.54,-4.780000000000001,-18.009999999999994,13497.85,-2.0382386349455928,2.19,2.06,0.03,5.669999999999999,1.0
(주)세븐코스프,17160,2010,302.0,32.92,-65.03,37.99,-66.28,-1.32,-56.61,-436.83,-22.76,-262.63,239.36,94.58,3.63,2.72,0.4,27.64,221.37,0.392355134483405,-5.230400545007737,0.4860787752494084,-13.83859447136589,-73.01999999999998,-17.840000000000003,93.35,-65.62,-3.12,-32.989999999999995,-284.51,-4.66,-81.81,55.88,-9.355914291746027,0.4299999999999997,-1.39,-0.37,5.670000000000003,1.0
(주)세실,84450,2010,248.29,11.95,0.0,0.0,0.0,25.36,-162.66,-165.65,-79.85,-100.77,173.83,23.92,5.28,6.1,0.49,36.22,118.95,0.3102144339475466,-0.5084939852280463,0.19302380829858115,-245.6914953534216,-1932.08,-36.37,-20.94,-29.28,-51.63,-202.31,-113.83,-92.64,-1756.43,15.150000000000002,-269.38507291866716,0.7700000000000005,4.7799999999999985,0.16999999999999998,-14.689999999999998,1.0
