회사명,거래소코드,회계년도,유동비율,차입금의존도,매출액증가율,유형자산증가율,총자본증가율,매출액총이익률,매출액영업이익률,매출액순이익률,총자본영업이익률,자기자본순이익률,당좌비율,부채비율,재고자산회전률,매출채권회전률,총자본회전률,매입채무회전률,현금순환주기,WCTA,RETA,TLTA,이자보상배율,vol유동비율,vol매출액증가율,vol유형자산증가율,vol총자본증가율,vol매출액총이익률,vol매출액영업이익률,vol자기자본순이익률,vol총자본영업이익률,vol당좌비율,vol부채비율,vol이자보상배율,vol재고자산회전률,vol매출채권회전률,vol총자본회전률,vol매입채무회전률,부도
(주)나노하이텍,71360,2008,133.5,20.58,-39.69,-12.18,-10.61,-3.02,-61.79,-106.79,-38.27,-158.02,133.29,191.5,26.64,1.64,0.62,3.71,137.14,0.8291878152470913,-0.6502174450987352,0.6569477529847457,-17.81721008010036,-26.41999999999999,5.350000000000001,-6.25,22.55,-3.79,-50.27,-130.37,-29.290000000000006,-17.26000000000002,85.82,-13.758948161659225,8.2,0.2899999999999998,-0.16000000000000006,0.5899999999999999,1.0
(주)네오리소스,58550,2008,51.87,89.91,-96.13,990.17,-35.83,44.39,-3222.73,-16536.4,-33.69,-3127.066667,48.69,-1514.133333,0.8,0.14,0.01,0.42,2111.58,0.5462329458169846,-7.543386731710776,1.0708132600669324,-15.104858084194456,-726.51,-70.97,1080.63,-321.42,57.93,-3121.78,-3127.066667,1.910000000000004,-729.69,-1525.653333,24.903598004621482,-37.66,-3.76,-0.34,-16.619999999999994,1.0
(주)네오퍼플,28090,2012,100.27,53.3,-23.29,-65.65,-4.98,14.29,-16.66,-50.54,-9.91,-83.89,86.85,193.31,6.62,7.09,0.6,13.23,79.07999999999998,0.6600249641627407,-0.4893878328348062,0.6590687248067731,-2.3257828025135616,15.36,-11.489999999999998,-67.53,-5.550000000000002,0.4499999999999993,-17.24,-49.33,-10.35,17.33999999999999,26.849999999999994,-2.456870497543408,-2.04,-1.2200000000000006,-0.16000000000000006,-0.6600000000000001,1.0
(주)넥스텔,37220,2003,98.58,37.39,62.56,488.13,18.87,3.67,-26.72,-69.2,-10.8,-59.64,89.08,117.88,12.16,6.9,0.4,5.93,21.329999999999988,0.4895582689213948,-0.25754630448449783,0.5410306998257457,-3.070397000350234,-612.7199999999998,94.35,539.16,56.98,24.29,41.3,-7.670000000000003,3.35,-606.0,10.049999999999997,2.278215069660757,-14.11,4.65,0.19000000000000006,0.9699999999999998,1.0
(주)넷컴스토리지,37010,2003,78.01,78.11,-35.78,-9.67,-29.76,7.15,-17.55,-54.01,-14.56,-187.63,57.82,711.15,4.21,5.96,0.83,9.81,110.79,0.6780840051478056,-0.9717883170515262,0.8767184482046848,-2.9931543546711947,-138.23000000000002,-26.37,-114.69,-4.0,-5.0299999999999985,-9.830000000000002,-112.37,-7.33,-75.99000000000002,498.65,-0.9303074906382668,-0.7000000000000002,1.4400000000000004,-0.11,0.4800000000000004,1.0
(주)단성일렉트론,85990,2009,109.66,33.57,-44.77,-32.5,30.82,8.71,-33.44,-87.36,-10.23,-68.61,102.19,114.23,8.38,3.3,0.31,4.54,73.57000000000002,0.5035605085753632,-0.2325815313189912,0.5332117670712928,-3.0503110583942283,59.56999999999999,-114.62,-85.32,45.68,-9.599999999999998,-26.58,114.56,-6.2,58.07,-132.81,-1.8538739159923419,-1.1399999999999988,-2.6800000000000006,-0.28,-8.91,1.0
(주)대경테크노스,37640,2003,77.29,51.5,12.51,-9.33,23.42,8.73,5.19,0.91,5.97,7.31,75.67,656.47,128.34,2.33,1.15,4.51,78.35,0.6101590096248842,0.04442505606405764,0.8678072694560401,1.6865881309924171,15.390000000000008,9.91,-3.26,32.42,2.7700000000000005,3.0500000000000003,10.44,3.65,14.32,117.35000000000002,1.0150395251945037,17.740000000000013,-0.4299999999999997,0.059999999999999824,0.09999999999999963,1.0
(주)도움,78610,2008,12.75,100.2,-43.53,4.28,-64.16,-6.41,-25.11,-147.88,-21.08,0.0,12.16,0.0,11.73,5.66,0.84,4.67,17.519999999999996,0.23609906042412884,-2.923686442565681,1.8521689987097711,-3.5164103621882203,-58.02,-28.98,8.57,-71.16,-12.83,-19.54,110.97,-15.259999999999998,-36.51000000000001,-225.86,-0.9299004623395436,1.4400000000000013,0.3700000000000001,-0.20000000000000007,-1.66,1.0
(주)동방라이텍,25690,2004,5.29,254.33,473.48,-18.12,-88.87,-12.55,-224.24,-343.18,-107.95,0.0,5.29,0.0,23.03,1.21,0.48,1.58,87.09000000000006,0.14848776764641589,-9.633233172408938,3.942292116680685,-18.230681324079093,-97.68,552.52,-24.89,-126.88,66.7,148.53999999999996,156.79,-87.79,-94.02,-340.51,-9.709272149411266,21.84,1.06,0.43,1.33,1.0
(주)동서정보기술,55000,2003,160.49,92.44,-28.0,-35.42,-70.71,-4.83,-39.25,-156.0,-44.82,0.0,154.29,0.0,91.88,2.67,1.14,5.18,70.14,0.6546038710435941,-3.1213478604330924,1.419715421513318,-26.16515749927753,-189.96,-11.329999999999998,-52.5,-49.24999999999999,-7.12,-31.130000000000006,6.9,-37.5,-192.48,-36.62,1408.9189423693165,-23.10000000000001,0.8999999999999999,0.2399999999999999,1.95,1.0
