회사명,거래소코드,회계년도,유동비율,차입금의존도,매출액증가율,유형자산증가율,총자본증가율,매출액총이익률,매출액영업이익률,매출액순이익률,총자본영업이익률,자기자본순이익률,당좌비율,부채비율,재고자산회전률,매출채권회전률,총자본회전률,매입채무회전률,현금순환주기,WCTA,RETA,TLTA,이자보상배율,vol유동비율,vol매출액증가율,vol유형자산증가율,vol총자본증가율,vol매출액총이익률,vol매출액영업이익률,vol자기자본순이익률,vol총자본영업이익률,vol당좌비율,vol부채비율,vol이자보상배율,vol재고자산회전률,vol매출채권회전률,vol총자본회전률,vol매입채무회전률,부도
(주)CMG제약,58820,2003,185.63,29.13,-34.12,-79.37,-28.17,0.7,-5.26,0.63,-6.91,1.7,23.55,71.96,2.19,355.39,1.31,26.59,154.11,0.7713880718190664,-0.20299087627627552,0.4184819717468092,-3.368570986334891,71.42,-100.93,-61.65000000000001,-1.8300000000000016,10.82,9.2,31.13,14.12,6.949999999999998,-63.72000000000001,6.620931844053772,-0.16000000000000014,-944.62,-0.1399999999999999,-32.290000000000006,0.0
(주)CMG제약,58820,2004,149.73,29.59,-24.76,-25.94,-53.18,-14.51,-21.69,-29.6,-34.95,-86.13,17.11,102.3,2.4,249.46,1.61,24.16,138.38,0.7516910510745209,-1.1813893735479937,0.5056941143217135,-22.923709375201913,-35.90000000000001,9.359999999999996,53.43000000000001,-25.01,-15.21,-16.43,-87.83,-28.040000000000006,-6.440000000000001,30.340000000000003,-19.55513838886702,0.21,-105.92999999999998,0.30000000000000004,-2.43,0.0
(주)CMG제약,58820,2009,108.59,14.75,-6.12,-8.5,-33.92,24.33,-85.24,-179.14,-30.14,-106.4,81.75,142.62,4.9,1.75,0.35,6.19,224.41000000000003,0.43035619165162736,-1.6359696954993772,0.5878317023479568,-8.285655441690087,-454.3,-507.93,-64.17,-90.47,-12.270000000000005,-50.21999999999999,-85.9,-16.770000000000003,-423.59,103.01,-3.2334854976636733,-5.7799999999999985,-0.5499999999999998,-0.030000000000000027,-4.47,0.0
(주)CMG제약,58820,2012,706.26,34.21,-8.43,-4.02,106.87,28.34,-24.88,-42.4,-9.57,-27.63,661.93,80.33,5.71,1.85,0.38,7.83,214.51,0.8260150222314623,-0.9189343715104864,0.44545860432026013,-7.451259946949603,505.94,-64.83,-11.88,92.69,-13.489999999999998,-28.81,-20.49,-12.27,497.61,29.72,-11.301693233977455,-0.5999999999999996,-0.8900000000000001,-0.30999999999999994,-4.119999999999999,0.0
(주)ES큐브,50120,2003,289.84,12.46,-12.38,1123.49,0.96,8.79,0.6,1.56,1.51,5.2,286.46,30.27,276.41,14.55,2.51,28.08,13.4,0.6072502041536527,0.3352998204370466,0.23234609529994205,2.2414749142400647,49.42999999999998,-12.38,1123.49,0.96,-1.620000000000001,-2.51,-2.1899999999999995,-7.450000000000001,50.74999999999997,-4.180000000000003,-1.7597828581787829,17.5,-6.41,-0.3700000000000001,2.43,0.0
(주)ES큐브,50120,2004,554.13,9.38,-6.0,-4.13,64.02,10.32,0.55,0.17,0.99,0.36,549.84,18.44,281.62,11.99,1.78,38.16,22.18,0.7580213495270753,0.20679441201358015,0.15570822628335648,1.6587066271335844,264.29,6.380000000000001,-1127.62,63.06,1.5300000000000011,-0.04999999999999993,-4.84,-0.52,263.38000000000005,-11.829999999999998,-0.5827682871064808,5.20999999999998,-2.5600000000000005,-0.7299999999999998,10.079999999999998,0.0
(주)ES큐브,50120,2008,717.8,2.43,10.24,13.95,12.31,9.75,-20.81,-25.07,-7.03,-8.88,706.32,8.36,36.64,10.23,0.34,12.24,15.800000000000004,0.5221176155987652,-0.1719051447983554,0.0771841404173252,-35.6158600875112,-5977.33,24.41,-5.68,-10.429999999999998,-2.3100000000000005,-2.3299999999999983,-7.590000000000002,-0.4000000000000004,-5893.3,7.199999999999998,-10.582901897395212,0.8299999999999983,-34.459999999999994,-0.01999999999999996,-9.32,0.0
(주)ES큐브,50120,2009,727.53,7.31,117.58,39.15,16.14,21.06,3.32,13.26,2.13,9.58,718.68,15.98,83.65,14.86,0.64,16.21,6.399999999999999,0.5853939092324897,-0.0686418435162805,0.13777702970261796,10.296704624067994,9.730000000000018,107.34,25.2,3.83,11.31,24.13,18.46,9.16,12.3599999999999,7.620000000000001,45.912564711579186,47.01000000000001,4.629999999999999,0.3,3.9700000000000006,0.0
(주)ES큐브,50120,2012,484.22,0.0,5.94,-0.8,-1.23,28.36,1.46,1.17,1.44,1.31,471.49,12.02,111.17,17.59,0.98,22.03,7.460000000000001,0.3498786668923499,0.010916913177585318,0.10732127915496448,20.032848413412328,96.06,-14.439999999999998,11.02,3.52,-1.8500000000000012,6.45,8.540000000000001,5.93,91.26,-3.5400000000000014,162.80175712995316,38.13,1.3500000000000014,0.07999999999999996,8.600000000000001,0.0
(주)가비아,79940,2003,224.88,9.6,0.0,0.0,0.0,53.48,14.59,13.86,24.06,40.64,224.88,77.89,0.0,22.21,1.65,260.32,15.03,0.7034021604397649,0.32454200235839764,0.4378582329785121,32.219528619528624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.65740543230359,0.0,0.0,0.0,0.0,0.0
(주)가비아,79940,2004,231.0,5.76,23.6,8.02,30.38,51.68,13.56,13.03,23.98,38.2,231.0,57.55,0.0,22.29,1.77,264.02,15.0,0.7144147096082047,0.4524757838773018,0.3652916356049037,83.7223421821415,6.1200000000000045,23.6,8.02,30.38,-1.7999999999999972,-1.0299999999999994,-2.4399999999999977,-0.0799999999999983,6.1200000000000045,-20.340000000000003,51.502813562612886,0.0,0.0799999999999983,0.1200000000000001,3.6999999999999886,0.0
(주)가비아,79940,2008,139.54,36.1,14.76,-2.92,26.64,52.04,19.05,9.3,13.87,12.51,139.54,105.4,0.0,21.19,0.73,110.33,13.92,0.3785681821485937,0.33034447170775105,0.5131538022800927,9.871451672904787,-36.27000000000001,0.2999999999999989,-0.54,-41.72,-2.660000000000004,3.6000000000000014,-10.03,-0.07000000000000027,-36.27000000000001,41.38000000000001,0.05071470030614833,0.0,-2.0599999999999987,-0.17000000000000004,-46.67,0.0
(주)가비아,79940,2009,200.06,21.17,7.59,-0.48,-1.19,48.28,16.58,14.4,11.69,18.3,200.06,60.37,0.0,17.26,0.71,94.53,17.29,0.2961865925858076,0.4364680275166369,0.3764509089012454,4.972320406571675,60.52000000000001,-7.17,2.44,-27.83,-3.759999999999998,-2.4700000000000024,5.790000000000001,-2.18,60.52000000000001,-45.03000000000001,-4.8991312663331135,0.0,-3.93,-0.020000000000000014,-15.799999999999995,0.0
(주)가비아,79940,2012,89.64,22.11,13.88,231.54,38.88,38.95,7.66,14.91,6.62,20.69,88.78,66.2,719.91,19.52,0.86,25.97,5.16,0.18559503792483048,0.4905456816542994,0.3983056215675152,6.251198636670016,12.290000000000004,-15.76,187.09,33.22,0.39000000000000057,-3.9599999999999986,6.650000000000002,-4.2,11.549999999999995,12.71,-4.610403627537305,-3957.3,3.140000000000001,-0.07000000000000006,-50.3,0.0
(주)강원에너지,114190,2003,117.12,6.92,-23.43,-37.79,-5.76,15.4,2.14,1.37,3.39,5.05,111.75,120.01,50.41,5.94,1.58,4.58,-10.97,0.5941427288199179,0.2530984775656457,0.5454655165410383,11.944765353335056,27.99000000000001,-110.69,-50.85,-11.81,-2.78,-5.5600000000000005,-21.17,-12.52,29.03,-25.52999999999999,-4.8738052868415425,12.279999999999996,0.0,-0.4899999999999998,-1.3099999999999996,0.0
(주)강원에너지,114190,2004,114.49,9.03,-12.74,-3.15,3.69,13.85,-0.74,0.14,-1.03,0.47,109.38,171.07,49.92,4.36,1.4,3.73,-6.949999999999988,0.6444846710667937,0.2460118948453237,0.6310891409370302,-5.422203933119639,-2.6300000000000097,10.69,34.64,9.45,-1.5500000000000007,-2.88,-4.58,-4.42,-2.3700000000000045,51.05999999999999,-17.366969286454694,-0.4899999999999949,-1.58,-0.18000000000000016,-0.8500000000000001,0.0
