회사명,거래소코드,회계년도,유동비율,차입금의존도,매출액증가율,유형자산증가율,총자본증가율,매출액총이익률,매출액영업이익률,매출액순이익률,총자본영업이익률,자기자본순이익률,당좌비율,부채비율,재고자산회전률,매출채권회전률,총자본회전률,매입채무회전률,현금순환주기,WCTA,RETA,TLTA,이자보상배율,vol유동비율,vol매출액증가율,vol유형자산증가율,vol총자본증가율,vol매출액총이익률,vol매출액영업이익률,vol자기자본순이익률,vol총자본영업이익률,vol당좌비율,vol부채비율,vol이자보상배율,vol재고자산회전률,vol매출채권회전률,vol총자본회전률,vol매입채무회전률,부도
(주)CMG제약,58820,2002,114.21,53.16,66.81,-17.72,-22.55,0.0,-14.46,-8.54,-18.98,-29.43,35.61,135.68,2.35,18.91,1.45,58.88,149.62,0.6414758019751785,-0.13922838269115434,0.5756957318869407,-9.989502830388664,-26.8,66.81,-17.72,-26.34,-14.35,-16.32,-30.69,-16.39,-3.2899999999999987,-2.1999999999999886,-11.021527427975238,1.2200000000000002,4.17,0.43000000000000016,16.97,0.0
(주)CMG제약,58820,2006,232.13,0.0,-20.58,-33.75,21.13,3.74,-35.59,-102.58,-12.93,-65.1,232.13,42.1,29.81,2.5,0.36,6.22,99.76,0.6876646883542247,-0.8963023500686987,0.29624746097405075,-14.082157222076779,136.87,47.42,-103.41,-38.74,13.35,12.069999999999993,20.460000000000008,14.13,143.03,-100.05,-0.6773422031956695,27.53,-4.200000000000001,-0.26,-16.509999999999998,0.0
(주)CMG제약,58820,2010,306.73,8.48,11.86,-11.92,5.66,23.74,-53.88,-67.39,-18.98,-57.61,230.52,40.78,4.27,2.71,0.48,7.41,170.61999999999995,0.4809430352949212,-0.8963023500686987,0.2896491777471342,-7.334933993675437,198.14,17.98,-3.42,39.58,-0.5899999999999999,19.58,43.18,-1.5999999999999979,148.77,-101.84,0.9507214480146482,-0.6300000000000008,0.96,0.13,1.2199999999999998,0.0
(주)CMG제약,58820,2014,325.47,2.65,11.96,74.3,3.87,37.07,1.96,0.75,0.78,0.35,269.08,18.46,4.77,1.95,0.4,5.27,203.95,0.4878933230074552,-0.8963023500686987,0.15586635685820752,3.63088570498209,-233.86,-13.06,57.67,5.67,-1.3900000000000006,-2.09,-0.48,-0.6799999999999999,-206.21,4.360000000000001,2.9053775916628766,-0.6000000000000005,-0.2,0.040000000000000036,-0.9000000000000004,0.0
(주)CMG제약,58820,2015,297.75,0.0,18.85,-5.37,-2.64,36.26,-9.51,-13.49,-4.48,-7.61,236.06,20.74,5.22,2.1,0.47,5.66,179.57999999999996,0.4652738554507342,-0.8963023500686987,0.1717428578032234,-18.504431767786304,-27.720000000000034,6.8900000000000015,-79.67,-6.51,-0.8100000000000023,-11.47,-7.96,-5.260000000000002,-33.01999999999998,2.2799999999999976,-35.83529507489315,0.4500000000000002,0.24,0.06999999999999995,0.39000000000000057,0.0
(주)ES큐브,50120,2002,240.41,8.03,0.0,0.0,0.0,10.41,3.11,1.91,8.96,7.39,235.71,34.45,152.14,18.91,2.13,25.65,4.600000000000001,0.5698787365705954,0.2990452576940493,0.2562468734671653,4.001257772418848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8126552271794165,0.0,0.0,0.0,0.0,0.0
(주)ES큐브,50120,2006,815.11,10.18,-7.95,33.05,12.77,11.05,-11.81,-24.32,-5.83,-13.35,691.99,16.62,70.09,14.74,0.49,21.22,12.770000000000005,0.7744281446954672,-0.11322019447556984,0.14251273804129894,-5.995279895536246,-104.17000000000007,-7.95,33.05,12.77,4.160000000000001,1.2099999999999989,7.65,1.59,-119.65000000000008,10.87,-1.2249058115774734,-17.78,3.65,-0.07999999999999996,-11.46,0.0
(주)ES큐브,50120,2007,815.11,0.0,-14.17,19.63,22.74,12.06,-18.48,-3.34,-6.63,-1.29,691.99,10.88,35.81,18.91,0.36,21.56,4.090000000000003,0.7155235634570587,-0.1031290383277976,0.10722975164334536,-18.504431767786304,258.79,-6.22,-13.419999999999998,9.97,1.0099999999999998,-6.67,12.06,-0.7999999999999998,230.07,-15.46,-19.037678294579745,-17.78,4.17,-0.13,0.33999999999999986,0.0
(주)ES큐브,50120,2010,551.21,0.0,22.59,8.74,0.6,17.85,2.03,-6.49,1.49,-5.44,535.32,13.05,63.32,16.09,0.73,12.72,4.090000000000003,0.5535896759052121,-0.04737230151232555,0.11540602056369233,9.558723739210683,-176.31999999999994,-82.45,-30.41,-15.54,-3.2099999999999973,-1.29,-15.02,-0.6399999999999999,-183.35999999999996,-2.93,-0.7379808848573095,-17.78,1.2300000000000004,0.08999999999999997,-3.49,0.0
(주)가비아,79940,2006,294.59,5.43,12.63,7.8,20.51,55.31,14.53,12.79,16.79,20.38,294.59,38.56,0.0,18.91,1.16,71.49,17.98,0.5719091472304146,0.4281792317418743,0.27827370838846,61.80580192669815,-6.32000000000005,-29.7,-103.41,-69.82000000000001,-1.8699999999999968,1.8899999999999988,-5.2200000000000015,-2.1700000000000017,-6.32000000000005,1.5900000000000034,-94.99509748899351,0.0,-0.41999999999999815,-0.3400000000000001,-16.509999999999998,0.0
