회사명,거래소코드,회계년도,유동비율,차입금의존도,매출액증가율,유형자산증가율,총자본증가율,매출액총이익률,매출액영업이익률,매출액순이익률,총자본영업이익률,자기자본순이익률,당좌비율,부채비율,재고자산회전률,매출채권회전률,총자본회전률,매입채무회전률,현금순환주기,WCTA,RETA,TLTA,이자보상배율,vol유동비율,vol매출액증가율,vol유형자산증가율,vol총자본증가율,vol매출액총이익률,vol매출액영업이익률,vol자기자본순이익률,vol총자본영업이익률,vol당좌비율,vol부채비율,vol이자보상배율,vol재고자산회전률,vol매출채권회전률,vol총자본회전률,vol매입채무회전률,부도
(주)CMG제약,58820,2001,141.01,50.6,0.0,0.0,0.0,5.53,1.86,0.7,1.41,1.26,35.58,137.88,1.13,19.38,0.76,24.84,243.27,0.7824282717518327,0.005281817039571945,0.5796202435200277,1.0320245975865725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.964794152576234,0.0,0.0,0.0,0.0,0.0
(주)CMG제약,58820,2005,95.26,49.68,-35.71,129.17,59.87,0.0,-37.83,-61.11,-15.43,-56.32,89.1,142.15,2.28,19.38,0.62,72.14,170.88,0.4165248540178117,-0.6867389630687232,0.5870314219633103,-13.40481501888111,-54.46999999999999,-43.24,119.96,68.85,-12.2,-24.18,0.5699999999999932,5.310000000000001,71.99,39.85000000000001,9.518894356320803,-0.1200000000000001,-4.560000000000001,-0.54,15.96,0.0
(주)CMG제약,58820,2011,200.32,16.74,56.4,7.86,14.18,41.83,3.93,-7.12,2.7,-7.14,164.32,50.61,6.31,2.74,0.69,11.95,160.3,0.5541086952015858,-0.6867389630687232,0.3360477301536753,3.8504332870278484,-106.41000000000004,44.54,19.78,8.52,11.050000000000004,18.26,35.22,12.060000000000002,-66.20000000000002,9.829999999999998,11.18536728070329,2.04,0.03000000000000025,0.21,4.539999999999999,0.0
(주)CMG제약,58820,2013,695.84,2.53,25.02,16.63,-1.8,38.46,4.05,1.65,1.46,0.83,611.84,14.1,5.37,2.06,0.36,6.17,185.79,0.6836625887527916,-0.6867389630687232,0.1235383643289812,0.725508113319215,-10.41999999999996,33.45,20.65,-72.03,10.12,18.26,28.46,11.03,-50.08999999999993,-66.23,8.176768060268817,-0.33999999999999986,0.21,-0.02000000000000001,-1.66,0.0
(주)ES큐브,50120,2005,794.02,0.0,0.0,0.0,0.0,6.89,-13.02,-34.82,-7.42,-21.0,687.55,11.85,144.47,11.09,0.57,32.68,24.27,0.8330634758521899,-0.11937464530587193,0.11421572065984074,-4.770374083958774,250.52,6.0,4.13,-64.02,-3.4300000000000006,-13.57,-21.36,-8.41,217.87,-12.69,-6.429080711092357,-18.3,-0.9000000000000004,-0.54,-5.479999999999998,0.0
(주)ES큐브,50120,2011,388.16,0.0,20.38,-11.82,-4.75,30.21,-4.99,-7.03,-4.49,-7.23,380.23,15.56,73.04,16.24,0.9,13.43,2.6300000000000026,0.4153183682671539,-0.06893414282895259,0.13461323763303046,-14.704375771241887,-163.05,-2.210000000000001,-20.56,-5.35,11.050000000000004,-7.02,-1.79,-5.98,-155.09000000000003,2.51,-93.8161159685675,9.720000000000006,0.14999999999999858,0.17000000000000004,0.7099999999999991,0.0
(주)ES큐브,50120,2013,794.02,0.0,3.72,-32.52,6.34,25.75,0.47,-32.19,0.47,-35.29,687.55,11.85,109.46,18.07,0.99,31.02,11.760000000000002,0.6844693501661788,-0.2939287244651371,0.11421572065984074,9.514328279730083,250.52,-2.22,-33.67,7.57,-2.6099999999999994,-0.99,-36.6,-0.97,217.87,-3.33,-10.518520133682244,-1.710000000000008,0.4800000000000004,0.010000000000000007,8.989999999999998,0.0
(주)ES큐브,50120,2017,794.02,27.28,6.57,60.62,0.37,17.81,5.85,3.29,2.07,1.73,687.55,46.85,89.52,14.35,0.35,13.87,3.2,0.4269133717943025,0.21228804235284568,0.3190430495349021,2.7644294524011825,146.06999999999994,12.18,-119.53000000000002,-72.03,-0.4299999999999997,-0.9300000000000006,-28.73,-1.04,145.28999999999996,-2.740000000000002,-8.816866931154005,4.450000000000003,-0.28000000000000114,-0.11000000000000004,-3.2900000000000014,0.0
(주)가비아,79940,2005,300.91,7.02,42.33,129.17,88.76,56.82,12.64,11.91,18.96,25.6,300.91,36.97,0.0,19.33,1.5,72.14,18.02,0.5625064726949338,0.3648978243979832,0.2699390269072023,158.90039044765274,69.91000000000003,18.73,119.96,66.22,5.5,-0.92,-12.6,-5.02,69.91000000000003,-20.58,75.17804826551126,0.0,-2.9600000000000013,-0.27,15.96,0.0
(주)가비아,79940,2011,77.35,10.14,29.64,44.45,5.66,38.56,11.62,9.65,10.82,14.04,77.23,53.49,153.59,16.38,0.93,72.14,17.57,0.2479038804936381,0.5372548699958939,0.3484876938762739,10.86160226420732,-80.39000000000001,11.34,21.910000000000004,-7.99,-6.4499999999999975,-4.120000000000001,-4.100000000000001,-1.5499999999999992,-80.51,-5.579999999999997,1.055007282128468,19.709999999999994,1.9499999999999995,0.14,4.239999999999995,0.0
