,Top10 Expansion RF Feature Importances(min),Top10 Expansion RF Feature Importances(std)
매출액순이익률,0.16530868277902055,0.16873984442259377
RETA,0.12914244893271565,0.13908446966995347
TLTA,0.08820383071718114,0.08696063214960029
vol매출액영업이익률,0.08099472542521254,0.08629025332968948
총자본영업이익률,0.08057422156197742,0.07901910440724622
자기자본순이익률,0.07496616851063845,0.0683892269458472
매출액영업이익률,0.07166838911192952,0.06675347813214959
이자보상배율,0.048748847852489646,0.04380760700840667
매출액증가율,0.04780796447138357,0.05045933093568717
차입금의존도,0.0454421407706504,
vol매출액총이익률,,0.04503881669627982
