회사명,종목코드,폐지일자,폐지사유,비고
라인건설,17620,2000-06-07,"최종부도 또는 당좌거래정지(1년) , 기타 등록취소",
주화산업,17740,2000-06-07,"최종부도 또는 당좌거래정지(1년) , 자본전액잠식(2년) , 기타 등록취소",
아진산업,13310,2000-06-07,"최종부도 또는 당좌거래정지(1년) , 자본전액잠식(2년) , 기타 등록취소 , 주식분산기준미달",아진산업
교하산업,13850,2000-06-07,"최종부도 또는 당좌거래정지(1년) , 기타 등록취소 , 자본전액잠식(2년)",
삼산,12010,2000-06-07,"최종부도 또는 당좌거래정지(1년) , 보고서미제출 , 기타 등록취소 , 주식분산기준미달",
정일이엔씨,10810,2000-06-07,"최종부도 또는 당좌거래정지(1년) , 자본전액잠식(2년)",
대륭산업,27610,2000-06-07,"최종부도 또는 당좌거래정지(1년) , 주식분산기준미달 , 기타 등록취소",
삼한콘트롤스,33070,2002-04-18,최종부도 또는 당좌거래정지(1년),
디지텔,37740,2002-07-08,최종부도 및 은행거래정지,
아이씨켐,20490,2002-10-11,최종부도 및 은행거래정지,
유니씨앤티,40780,2002-10-18,최종부도 및 은행거래정지,
코닉스,17210,2002-11-14,최종부도 및 은행거래정지,
심스밸리,42470,2002-11-16,최종부도 및 은행거래정지,
소프트윈,49790,2002-11-28,최종부도 및 은행거래정지,
TKG애강,22220,2002-12-05,최종부도 및 은행거래정지,TKG애강
화인썬트로닉스,38520,2003-03-07,최종부도 및 은행거래정지 (취소사유발생일: 2003.2.20),
시스컴,37280,2003-03-29,최종부도 및 은행거래정지 (취소사유발생일 : 2003년 3월 14일),
코리아링크,37410,2003-04-16,감사의견거절 및 최종부도 (취소사유발생일 : 2003년 4월 1일),
이론테크,34980,2003-04-30,최종부도 및 은행거래정지 (취소사유발생일 : 2003년 4월 15일),
다산씨앤아이,37200,2003-06-19,최종부도 및 은행거래정지 (취소사유발생일: 2003년 6월 3일),
화림모드,45920,2003-10-17,최종부도 및 은행거래정지 (취소사유발생일: '03.10.1),
모닷텔,48150,2004-04-29,최종부도(취소사유발생일 : 2004년 4월 13일),
대흥멀티통신,37250,2004-05-11,최종부도(취소사유발생일 : 2004년 4월 23일),
호성,35870,2004-06-12,최종부도(취소사유발생일 : 2004년 5월 28일),
텔슨전자,27350,2004-08-10,최종부도(취소사유발생일: 2004년 7월 26일),
테크메이트,43690,2004-10-16,최종부도(취소사유발생일: 2004년 10월 1일),
현대멀티캡,35910,2005-01-19,최종부도(등록취소사유발생일: 2005년 1월 4일),
지에스엔텍,37640,2005-01-24,최종부도(등록취소사유발생일 : 2005년 1월 7일),
넥스텔,37220,2005-04-09,최종부도(상장폐지사유 발생일 : 2005년 03월 24일),
현주컴퓨터,38960,2005-05-11,최종부도(상장폐지사유 발생일 : 2005년 04월 25일),
아이텍스필,8030,2005-06-02,최종부도(상장폐지사유 발생일 : 2005년 05월 02일),
케이티씨텔레콤,55810,2005-08-13,최종부도(상장폐지사유 발생일 : 2005년 07월 29일),
알루코,21570,2005-10-13,최종부도(상장폐지사유 발생일 : 2005년 09월 27일),
VK,48760,2006-07-22,최종부도,
우영,12460,2008-03-13,최종부도,
아이비진,39060,2008-12-20,최종부도,
카라반케이디이,32570,2009-09-18,발행한 어음 또는 수표가 주거래은행에 의하여 최종부도로 결정되거나 거래은행에 의한 거래 정지,
GK파워,54020,2010-04-03,최종부도,
쌈지,33260,2010-04-17,최종부도 발생,
에스피코프,48130,2010-04-20,최종부도 발생,
인네트,41450,2010-09-14,최종부도 발생,
하이드로젠파워,70080,2010-11-06,최종부도,
제이콤,60750,2011-04-16,최종부도 발생,
미주제강,2670,2012-04-17,발행한 어음 또는 수표가 주거래은행에 의하여 최종부도로 결정되거나 거래은행에 의한 거래 정지,
금강제강,105070,2012-08-14,최종부도 발생,
SSCP,71660,2012-09-29,최종부도 발생,
CU전자,56340,2014-05-21,최종부도 발생,
우양에이치씨,101970,2015-03-17,발행한 어음 또는 수표가 주거래은행에 의하여 최종부도로 결정되거나 거래은행에 의한 거래 정지,
티에스엠텍,66350,2015-05-20,발행한 어음 또는 수표가 주거래은행에 의하여 최종부도로 결정되거나 거래은행에 의한 거래정지,
한빛전자통신,44570,2002-06-07,감사의견거절 및 법정제출기한 익일로부터 30일이내에 사업보고서 미제출,
태영텔스타,60840,2003-04-02,감사의견거절 (취소사유발생일 : 2003년 3월 18일),
뉴씨앤씨,45240,2003-04-04,감사의견거절(취소사유발생일:2003년 3월 20일),
리타워텍,20860,2003-04-11,감사의견거절(취소사유발생일 : 2003년 3월 27일),
올에버,34970,2003-04-15,감사의견거절(취소사유발생일 : 2003년 3월 31일),
어플라이드,53960,2003-04-15,감사의견거절(취소사유발생일: 2003년 4월 1일),
씨모스,37600,2004-03-24,감사의견거절(취소사유발생일:2004년 3월 9일),
리더컴,56140,2004-03-30,감사의견거절(취소사유발생일 : 2004년 3월 15일),
삼화기연,33210,2004-03-31,감사의견거절(취소사유발생일 : 2004년 3월 15일),
동서정보기술,55000,2004-04-03,감사의견거절(취소사유발생일 : 2004년 3월 19일),
엔플렉스,40130,2004-04-03,감사의견거절(취소사유발생일 : 2004년 3월 20일),
디이시스,53200,2004-04-03,감사의견거절(취소사유발생일 : 2004년 3월 22일),
신한에스아이티,54530,2004-04-03,감사의견거절(취소사유발생일 : 2004년 3월 20일),
피코소프트,39580,2004-04-07,감사의견거절(취소사유발생일:2004년 3월 22일),
바이오시스,35960,2004-04-07,감사의견거절(취소사유발생일:2004년 3월 22일),
엠바이엔,31970,2004-04-07,감사의견거절(취소사유발생일:2004년 3월 22일),
넷컴스토리지,37010,2004-04-08,감사의견거절(취소사유발생일 : 2004년 3월 23일),
한빛네트,36720,2004-04-08,감사의견거절(취소사유발생일 : 2004년 3월 23일),
월드텔레콤,47610,2004-04-08,감사의견거절(취소사유발생일 : 2004년 3월 23일),
윌텍정보통신,39390,2004-04-09,감사의견거절(취소사유발생일 : 2004년 3월 24일),
엔써,37750,2004-04-13,감사의견거절(취소사유발생일 : '04.3.29),
써미트,39000,2004-04-13,감사의견거절(취소사유발생일 : '04.3.26),
코리아이앤디,27440,2004-04-14,감사의견거절(취소사유발생일 : 2004년 3월 29일),
트래픽아이티에스,38050,2004-04-22,감사의견거절(취소사유발생일 : 2004년 3월 30일),
동방라이텍,25690,2005-03-12,감사의견거절(상장폐지사유 발생일 : 2005년 02월 24일),
우주통신,54080,2005-03-30,감사의견거절(상장폐지사유 발생일 : 2005년 03월 15일,
맥시스템,36880,2005-03-31,감사의견거절(상장폐지사유 발생일 : 2005년 03월 16일),
지니웍스,36600,2005-04-02,감사의견거절(상장폐지사유 발생일 : 2005년 03월 18일),
엔에스아이,53250,2005-04-02,감사의견거절(상장폐지사유 발생일 : 2005년 03월 19일),
성진산업,37650,2005-04-05,감사의견거절(상장폐지사유 발생일 : 2005년 03월 21일),
슈마,56500,2005-04-05,감사의견거절(상장폐지사유 발생일 : 2005년 03월 22일),
텔슨정보통신,18180,2005-04-07,감사의견거절(상장폐지사유 발생일 : 2005년 03월 22일),
아이엠아이티,38100,2005-04-08,감사의견거절(상장폐지사유 발생일 : 2005년 03월 23일),
업필,54370,2005-04-12,감사의견거절(상장폐지사유 발생일 : 2005년 03월 26일),
창민테크,42960,2005-04-13,감사의견거절(상장폐지사유 발생일 : 2005년 03월 28일),
하우리,49130,2005-04-20,감사의견거절(상장폐지사유 발생일 : 2005년 03월 21일),
에스오케이,32610,2005-04-21,감사의견거절(상장폐지사유 발생일 : 2005년 04월 06일),
택산아이엔씨,36900,2005-04-23,감사의견거절,
솔빛미디어,44440,2005-04-26,감사의견거절(상장폐지사유 발생일 : 2005년 04월 11일),
아이티센네트웍스,57110,2005-10-22,"최근사업연도말 현재 자본잠식률 100분의50이상의 사유로 관리종목지정된 후, 최근 반기말기준으로 감사의견거절 및 반기말 자본잠식률이 100분의 50 이상",
휘튼,66480,2006-04-25,감사의견거절(상장폐지사유발생일 : 2006년 4월 10일),
시큐어소프트,37060,2007-04-04,재감사보고서상 감사의견거절,
예일바이오텍,54250,2007-04-11,"감사의견거절, 자본전액잠식, 2년 연속 자본잠식률 50% 이상",
제이엠피,54790,2007-04-24,감사의견거절,
에너윈,55970,2008-05-03,감사의견거절(감사범위제한),
두림티앤씨,33330,2008-05-03,감사의견거절(감사범위제한),
조이토토,44370,2008-05-03,감사의견거절(감사범위제한),
한도하이테크,60660,2008-05-03,감사의견거절(감사범위제한),
한통데이타,45760,2008-06-13,감사의견거절(감사범위제한),
PW제네틱스,65910,2009-04-18,감사의견거절(감사범위제한),
KNS홀딩스,36760,2009-04-23,"감사의견거절(감사범위제한), 법정제출기한까지 사업보고서를 제출하지 아니한 후 법정제출기한의 다음날부터 10일 이내에 사업보고서 미제출",
3SOFT,36360,2009-04-29,감사의견거절(감사범위제한),
